function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret
schwefel,5,1.0,0,gaussian,2.0,4,-509.9184635169506,-510.42902360127664,509.9184635169506,510.42902360127664
schwefel,5,1.0,1,gaussian,2.0,0,-851.6861828089575,-852.4513790824044,851.6861828089575,852.4513790824044
schwefel,5,1.0,1,gaussian,2.0,1,-256.28444124069597,-256.10452437565345,256.28444124069597,256.10452437565345
schwefel,5,1.0,1,gaussian,2.0,2,-1173.8489502390698,-1173.4552591260672,1173.8489502390698,1173.4552591260672
schwefel,5,1.0,1,gaussian,2.0,3,-512.9498301644752,-514.1582594587762,512.9498301644752,514.1582594587762
schwefel,5,1.0,1,gaussian,2.0,4,-1395.343926999478,-1394.791520290948,1395.343926999478,1394.791520290948
schwefel,5,1.0,2,gaussian,2.0,0,-972.7066185010676,-973.4718147745145,972.7066185010676,973.4718147745145
schwefel,5,1.0,2,gaussian,2.0,1,-471.9482316406946,-468.95457815191367,471.9482316406946,468.95457815191367
schwefel,5,1.0,2,gaussian,2.0,2,-1118.2439677612172,-1114.322986928879,1118.2439677612172,1114.322986928879
schwefel,5,1.0,2,gaussian,2.0,3,-713.7474186201257,-715.1230294656259,713.7474186201257,715.1230294656259
schwefel,5,1.0,2,gaussian,2.0,4,-1395.343926999478,-1394.791520290948,1395.343926999478,1394.791520290948
schwefel,5,hw,0,gaussian,2.0,0,-1079.6490992488968,-1077.8542802416341,1079.6490992488968,1077.8542802416341
schwefel,5,hw,0,gaussian,2.0,1,-994.971075685396,-994.4396934131889,994.971075685396,994.4396934131889
schwefel,5,hw,0,gaussian,2.0,2,-1153.7375841354465,-1156.9113521308766,1153.7375841354465,1156.9113521308766
schwefel,5,hw,0,gaussian,2.0,3,-886.9444749713217,-887.6231172622238,886.9444749713217,887.6231172622238
schwefel,5,hw,0,gaussian,2.0,4,-859.825958880136,-863.5902231658667,859.825958880136,863.5902231658667
schwefel,5,hw,1,gaussian,2.0,0,-954.024781427763,-956.5459191178472,954.024781427763,956.5459191178472
schwefel,5,hw,1,gaussian,2.0,1,-600.2513354507028,-596.8646380345585,600.2513354507028,596.8646380345585
schwefel,5,hw,1,gaussian,2.0,2,-1016.0708392920619,-1018.8679710114623,1016.0708392920619,1018.8679710114623
schwefel,5,hw,1,gaussian,2.0,3,-517.1596779404761,-518.5352887859763,517.1596779404761,518.5352887859763
schwefel,5,hw,1,gaussian,2.0,4,-1395.343926999478,-1394.791520290948,1395.343926999478,1394.791520290948
schwefel,5,hw,2,gaussian,2.0,0,-750.565299611988,-748.3687207493385,750.565299611988,748.3687207493385
schwefel,5,hw,2,gaussian,2.0,1,-643.7688546400386,-643.9285338625511,643.7688546400386,643.9285338625511
schwefel,5,hw,2,gaussian,2.0,2,-1115.7783341314016,-1111.8573532990633,1115.7783341314016,1111.8573532990633
schwefel,5,hw,2,gaussian,2.0,3,-634.0495237599905,-630.4824949687691,634.0495237599905,630.4824949687691
schwefel,5,hw,2,gaussian,2.0,4,-1395.343926999478,-1394.791520290948,1395.343926999478,1394.791520290948
levy,5,1.0,0,gaussian,2.0,0,4.851132535113775,-1.231573174115191,-4.851132535113775,1.231573174115191
levy,5,1.0,0,gaussian,2.0,1,-0.04016618457002963,-4.144451804857328,0.04016618457002963,4.144451804857328
levy,5,1.0,0,gaussian,2.0,2,-2.170537704266548,-3.6727086998780196,2.170537704266548,3.6727086998780196
levy,5,1.0,0,gaussian,2.0,3,-2.1196533051094963,-4.644799409621528,2.1196533051094963,4.644799409621528
levy,5,1.0,0,gaussian,2.0,4,2.9285017269149103,-0.8287324609309025,-2.9285017269149103,0.8287324609309025
levy,5,1.0,1,gaussian,2.0,0,-0.265999698248629,-0.8945477804614415,0.265999698248629,0.8945477804614415
levy,5,1.0,1,gaussian,2.0,1,2.0458482213879527,-2.2999606068568035,-2.0458482213879527,2.2999606068568035
levy,5,1.0,1,gaussian,2.0,2,0.5534652027991251,-0.9231358994200626,-0.5534652027991251,0.9231358994200626
levy,5,1.0,1,gaussian,2.0,3,1.228341606484738,-1.4636724852902974,-1.228341606484738,1.4636724852902974
levy,5,1.0,1,gaussian,2.0,4,0.4283701766007417,-0.2669839955620942,-0.4283701766007417,0.2669839955620942
levy,5,1.0,2,gaussian,2.0,0,4.112529215684392,-0.8741019134936064,-4.112529215684392,0.8741019134936064
levy,5,1.0,2,gaussian,2.0,1,0.015444172894020891,-1.9361457177391277,-0.015444172894020891,1.9361457177391277
levy,5,1.0,2,gaussian,2.0,2,0.26343252525538485,-1.6135327673666624,-0.26343252525538485,1.6135327673666624
levy,5,1.0,2,gaussian,2.0,3,0.5954650444471832,-0.8824164759112345,-0.5954650444471832,0.8824164759112345
levy,5,1.0,2,gaussian,2.0,4,1.6841600806318167,-0.5379199292038787,-1.6841600806318167,0.5379199292038787
levy,5,hw,0,gaussian,2.0,0,4.8174907850677595,-1.283366751212562,-4.8174907850677595,1.283366751212562
levy,5,hw,0,gaussian,2.0,1,-5.176097455009398,-7.318688492197548,5.176097455009398,7.318688492197548
levy,5,hw,0,gaussian,2.0,2,-0.1790609231589233,-4.0481376721813795,0.1790609231589233,4.0481376721813795
levy,5,hw,0,gaussian,2.0,3,-5.075389305962835,-6.238775799485735,5.075389305962835,6.238775799485735
levy,5,hw,0,gaussian,2.0,4,3.1535248833410248,-1.0740344831559525,-3.1535248833410248,1.0740344831559525
levy,5,hw,1,gaussian,2.0,0,3.43668614804437,-0.9208559662924657,-3.43668614804437,0.9208559662924657
levy,5,hw,1,gaussian,2.0,1,0.4285160463813309,-0.47352479717148754,-0.4285160463813309,0.47352479717148754
levy,5,hw,1,gaussian,2.0,2,0.5529059137081629,-1.0304978679324452,-0.5529059137081629,1.0304978679324452
levy,5,hw,1,gaussian,2.0,3,1.091574123620386,-1.4510358540987511,-1.091574123620386,1.4510358540987511
levy,5,hw,1,gaussian,2.0,4,2.0366654798589985,-1.1449922114833373,-2.0366654798589985,1.1449922114833373
levy,5,hw,2,gaussian,2.0,0,0.5966989222136267,-0.9724117464283657,-0.5966989222136267,0.9724117464283657
levy,5,hw,2,gaussian,2.0,1,-2.5232844362940554,-1.6780368498627103,2.5232844362940554,1.6780368498627103
levy,5,hw,2,gaussian,2.0,2,0.4686383838826309,-1.6135401200329762,-0.4686383838826309,1.6135401200329762
levy,5,hw,2,gaussian,2.0,3,0.914383531503633,-0.7154396581820821,-0.914383531503633,0.7154396581820821
levy,5,hw,2,gaussian,2.0,4,0.5604945398784507,-0.5193482142873825,-0.5604945398784507,0.5193482142873825
zakharov,5,1.0,0,gaussian,2.0,0,-57.25909076352962,-57.207471240347914,57.25909076352962,57.207471240347914
zakharov,5,1.0,0,gaussian,2.0,1,-19.849512478938422,-18.492816344950537,19.849512478938422,18.492816344950537
zakharov,5,1.0,0,gaussian,2.0,2,-21.984505712776457,-23.106385943766547,21.984505712776457,23.106385943766547
zakharov,5,1.0,0,gaussian,2.0,3,-41.35280205977502,-44.39082875042871,41.35280205977502,44.39082875042871
zakharov,5,1.0,0,gaussian,2.0,4,-62.49325191118169,-66.25751619691245,62.49325191118169,66.25751619691245
zakharov,5,1.0,1,gaussian,2.0,0,-85.31256810324268,-85.87241730132916,85.31256810324268,85.87241730132916
zakharov,5,1.0,1,gaussian,2.0,1,-42.55564565335301,-41.19894951936512,42.55564565335301,41.19894951936512
zakharov,5,1.0,1,gaussian,2.0,2,-25.06183186707054,-25.237252303887203,25.06183186707054,25.237252303887203
zakharov,5,1.0,1,gaussian,2.0,3,-37.2940009711853,-34.566824682572616,37.2940009711853,34.566824682572616
zakharov,5,1.0,1,gaussian,2.0,4,-68.57990122797764,-69.44044389049456,68.57990122797764,69.44044389049456
zakharov,5,1.0,2,gaussian,2.0,0,-68.29969847857011,-70.57849984765672,68.29969847857011,70.57849984765672
zakharov,5,1.0,2,gaussian,2.0,1,-39.711675362567725,-41.3763400535244,39.711675362567725,41.3763400535244
