function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret
rosenbrock,10,1.0,0,student_t,2.0,0,-65.72256089970264,-66.7076016315588,65.72256089970264,66.7076016315588
rosenbrock,10,1.0,0,student_t,2.0,1,-31.77573407058926,-33.51032028527834,31.77573407058926,33.51032028527834
rosenbrock,10,1.0,0,student_t,2.0,2,-55.61934450018589,-61.290082718653764,55.61934450018589,61.290082718653764
rosenbrock,10,1.0,0,student_t,2.0,3,-55.356610733494485,-55.549109380260894,55.356610733494485,55.549109380260894
rosenbrock,10,1.0,0,student_t,2.0,4,-102.98375461064906,-103.2832575618376,102.98375461064906,103.2832575618376
rosenbrock,10,1.0,1,student_t,2.0,0,-29.68895786676087,-32.24804318227393,29.68895786676087,32.24804318227393
rosenbrock,10,1.0,1,student_t,2.0,1,-16.909651255171617,-14.474050544116487,16.909651255171617,14.474050544116487
rosenbrock,10,1.0,1,student_t,2.0,2,-19.231062570403832,-19.003372087064115,19.231062570403832,19.003372087064115
rosenbrock,10,1.0,1,student_t,2.0,3,-40.12328317383056,-39.18646921463977,40.12328317383056,39.18646921463977
rosenbrock,10,1.0,1,student_t,2.0,4,-42.05562266477664,-41.95623295363933,42.05562266477664,41.95623295363933
rosenbrock,10,1.0,2,student_t,2.0,0,-73.63741758367482,-72.63914058427748,73.63741758367482,72.63914058427748
rosenbrock,10,1.0,2,student_t,2.0,1,-24.856995904163107,-24.377556251008833,24.856995904163107,24.377556251008833
rosenbrock,10,1.0,2,student_t,2.0,2,-39.456472474681426,-40.12981899571762,39.456472474681426,40.12981899571762
rosenbrock,10,1.0,2,student_t,2.0,3,-72.64965351776556,-75.65902517462908,72.64965351776556,75.65902517462908
rosenbrock,10,1.0,2,student_t,2.0,4,-43.53504529376033,-44.30671850562365,43.53504529376033,44.30671850562365
rosenbrock,10,hw,0,student_t,2.0,0,-75.82804541565233,-81.16278135269444,75.82804541565233,81.16278135269444
rosenbrock,10,hw,0,student_t,2.0,1,-54.44337837333894,-56.616061316613425,54.44337837333894,56.616061316613425
rosenbrock,10,hw,0,student_t,2.0,2,-33.76597515586042,-38.227099300668215,33.76597515586042,38.227099300668215
rosenbrock,10,hw,0,student_t,2.0,3,-44.361253843067786,-45.42470964410869,44.361253843067786,45.42470964410869
rosenbrock,10,hw,0,student_t,2.0,4,-113.41060520288626,-113.11734305786963,113.41060520288626,113.11734305786963
rosenbrock,10,hw,1,student_t,2.0,0,-16.63099944282039,-24.461087123390673,16.63099944282039,24.461087123390673
rosenbrock,10,hw,1,student_t,2.0,1,-14.04605167415301,-16.42112052318657,14.04605167415301,16.42112052318657
rosenbrock,10,hw,1,student_t,2.0,2,-24.077891678388394,-23.224572147389487,24.077891678388394,23.224572147389487
rosenbrock,10,hw,1,student_t,2.0,3,-37.83571372749571,-37.43611029556961,37.83571372749571,37.43611029556961
rosenbrock,10,hw,1,student_t,2.0,4,-38.11155241333265,-37.70745672205303,38.11155241333265,37.70745672205303
rosenbrock,10,hw,2,student_t,2.0,0,-45.71366540259343,-45.48639907504097,45.71366540259343,45.48639907504097
rosenbrock,10,hw,2,student_t,2.0,1,-38.41058075736841,-36.616303854863226,38.41058075736841,36.616303854863226
rosenbrock,10,hw,2,student_t,2.0,2,-21.0663865760457,-20.437204541045205,21.0663865760457,20.437204541045205
rosenbrock,10,hw,2,student_t,2.0,3,-63.308070538144,-62.91809787387798,63.308070538144,62.91809787387798
rosenbrock,10,hw,2,student_t,2.0,4,-56.155514444023765,-55.755016840257404,56.155514444023765,55.755016840257404
ackley,10,1.0,0,student_t,2.0,0,-3.161172746911908,-6.9706699867583914,3.161172746911908,6.9706699867583914
ackley,10,1.0,0,student_t,2.0,1,-3.6999370347558944,-7.73366349187908,3.6999370347558944,7.73366349187908
ackley,10,1.0,0,student_t,2.0,2,-0.6380804252033183,-6.134481883702147,0.6380804252033183,6.134481883702147
ackley,10,1.0,0,student_t,2.0,3,-6.1990110631556865,-7.313449392661743,6.1990110631556865,7.313449392661743
ackley,10,1.0,0,student_t,2.0,4,-4.112901771769689,-6.728720454711073,4.112901771769689,6.728720454711073
ackley,10,1.0,1,student_t,2.0,0,-2.782080076053468,-7.376593948629825,2.782080076053468,7.376593948629825
ackley,10,1.0,1,student_t,2.0,1,-3.6999370347558944,-7.73366349187908,3.6999370347558944,7.73366349187908
ackley,10,1.0,1,student_t,2.0,2,-3.8584256918131477,-6.134481883702147,3.8584256918131477,6.134481883702147
ackley,10,1.0,1,student_t,2.0,3,-2.4680116080468877,-5.196440300152204,2.4680116080468877,5.196440300152204
ackley,10,1.0,1,student_t,2.0,4,-4.112901771769689,-6.728720454711073,4.112901771769689,6.728720454711073
ackley,10,1.0,2,student_t,2.0,0,0.599274103208713,-4.395115653837859,-0.599274103208713,4.395115653837859
ackley,10,1.0,2,student_t,2.0,1,-4.379658193318448,-7.73366349187908,4.379658193318448,7.73366349187908
ackley,10,1.0,2,student_t,2.0,2,-3.8584256918131477,-6.134481883702147,3.8584256918131477,6.134481883702147
ackley,10,1.0,2,student_t,2.0,3,-4.355836182252324,-7.937266385459484,4.355836182252324,7.937266385459484
ackley,10,1.0,2,student_t,2.0,4,-4.112901771769689,-6.728720454711073,4.112901771769689,6.728720454711073
ackley,10,hw,0,student_t,2.0,0,-2.9472124672034266,-6.970668712850408,2.9472124672034266,6.970668712850408
ackley,10,hw,0,student_t,2.0,1,-3.0323544525602557,-7.73366349187908,3.0323544525602557,7.73366349187908
ackley,10,hw,0,student_t,2.0,2,-2.2683361778608067,-6.134481883702147,2.2683361778608067,6.134481883702147
ackley,10,hw,0,student_t,2.0,3,-5.596108213770062,-7.313449392661743,5.596108213770062,7.313449392661743
ackley,10,hw,0,student_t,2.0,4,-4.112901771769689,-6.728720454711073,4.112901771769689,6.728720454711073
ackley,10,hw,1,student_t,2.0,0,-2.9472124672034266,-6.762674577979395,2.9472124672034266,6.762674577979395
ackley,10,hw,1,student_t,2.0,1,-3.30412596876484,-7.9863368673422475,3.30412596876484,7.9863368673422475
ackley,10,hw,1,student_t,2.0,2,-3.8584256918131477,-6.134481883702147,3.8584256918131477,6.134481883702147
ackley,10,hw,1,student_t,2.0,3,-5.817780138017447,-7.937266385459484,5.817780138017447,7.937266385459484
ackley,10,hw,1,student_t,2.0,4,-4.112901771769689,-6.728720454711073,4.112901771769689,6.728720454711073
ackley,10,hw,2,student_t,2.0,0,2.417346105575376,-5.3672899004801735,-2.417346105575376,5.3672899004801735
ackley,10,hw,2,student_t,2.0,1,-2.9728458131305224,-6.959370132397197,2.9728458131305224,6.959370132397197
ackley,10,hw,2,student_t,2.0,2,-1.800143779117314,-6.134481883702147,1.800143779117314,6.134481883702147
ackley,10,hw,2,student_t,2.0,3,-3.204182807965629,-5.687930327352227,3.204182807965629,5.687930327352227
ackley,10,hw,2,student_t,2.0,4,-4.112901771769689,-6.728720454711073,4.112901771769689,6.728720454711073
rastrigin,10,1.0,0,student_t,2.0,0,-65.33601488878173,-70.52875757975185,65.33601488878173,70.52875757975185
rastrigin,10,1.0,0,student_t,2.0,1,-90.04016208747879,-92.41523093651236,90.04016208747879,92.41523093651236
rastrigin,10,1.0,0,student_t,2.0,2,-74.14820319243765,-74.40593114535261,74.14820319243765,74.40593114535261
rastrigin,10,1.0,0,student_t,2.0,3,-60.38881468141364,-61.62693821024269,60.38881468141364,61.62693821024269
rastrigin,10,1.0,0,student_t,2.0,4,-57.279129637245525,-60.99447585237798,57.279129637245525,60.99447585237798
rastrigin,10,1.0,1,student_t,2.0,0,-31.865032451873777,-31.39535589454738,31.865032451873777,31.39535589454738
rastrigin,10,1.0,1,student_t,2.0,1,-52.65332796724143,-52.89036728685228,52.65332796724143,52.89036728685228
