function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret,batch,true_optimum_patch
branin,2,hw,2,gaussian,2.0,2,0.7239971047177192,-0.7010611602211547,-0.7239971047177192,0.7010611602211547,s03_batch3,
branin,2,hw,2,gaussian,2.0,3,0.2364387214761247,-1.0316174721925329,-0.2364387214761247,1.0316174721925329,s03_batch3,
branin,2,hw,2,gaussian,2.0,4,0.5855361910501371,-0.3649542923167548,-0.5855361910501371,0.3649542923167548,s03_batch3,
colville,4,1,0,gaussian,2.0,0,-227.18781939299924,-228.41219912918925,227.18781939299924,228.41219912918925,s03_batch3,
colville,4,1,0,gaussian,2.0,1,-114.46015128689784,-113.6033271007057,114.46015128689784,113.6033271007057,s03_batch3,
colville,4,1,0,gaussian,2.0,2,-9434.885303794292,-9435.558054664982,9434.885303794292,9435.558054664982,s03_batch3,
colville,4,1,0,gaussian,2.0,3,-162.31964240103173,-161.37887758393126,162.31964240103173,161.37887758393126,s03_batch3,
colville,4,1,0,gaussian,2.0,4,-1975.5134955752603,-1976.2972810393903,1975.5134955752603,1976.2972810393903,s03_batch3,
colville,4,1,1,gaussian,2.0,0,-144.23878625374206,-141.2397488160905,144.23878625374206,141.2397488160905,s03_batch3,
colville,4,1,1,gaussian,2.0,1,-163.5474173536794,-163.01749599542424,163.5474173536794,163.01749599542424,s03_batch3,
colville,4,1,1,gaussian,2.0,2,-1052.4461907170046,-1055.1984790575436,1052.4461907170046,1055.1984790575436,s03_batch3,
colville,4,1,1,gaussian,2.0,3,-924.912328207849,-924.102385448454,924.912328207849,924.102385448454,s03_batch3,
colville,4,1,1,gaussian,2.0,4,-1337.003562857543,-1339.4836333641729,1337.003562857543,1339.4836333641729,s03_batch3,
colville,4,1,2,gaussian,2.0,0,-974.2262539939286,-973.6115243731646,974.2262539939286,973.6115243731646,s03_batch3,
colville,4,1,2,gaussian,2.0,1,-1025.6536763270162,-1025.2546104963485,1025.6536763270162,1025.2546104963485,s03_batch3,
colville,4,1,2,gaussian,2.0,2,-1695.3279694885075,-1700.9678541861394,1695.3279694885075,1700.9678541861394,s03_batch3,
colville,4,1,2,gaussian,2.0,3,-965.989748430489,-969.6899314547333,965.989748430489,969.6899314547333,s03_batch3,
colville,4,1,2,gaussian,2.0,4,-213.1383870810934,-213.92217254522333,213.1383870810934,213.92217254522333,s03_batch3,
colville,4,hw,0,gaussian,2.0,0,-69.31574024732392,-70.45833117092222,69.31574024732392,70.45833117092222,s03_batch3,
colville,4,hw,0,gaussian,2.0,1,-152.2748099733994,-151.65937934094316,152.2748099733994,151.65937934094316,s03_batch3,
colville,4,hw,0,gaussian,2.0,2,-5014.290237926835,-5013.445154613214,5014.290237926835,5013.445154613214,s03_batch3,
colville,4,hw,0,gaussian,2.0,3,-116.27865719475992,-115.53009941300314,116.27865719475992,115.53009941300314,s03_batch3,
colville,4,hw,0,gaussian,2.0,4,-243.9839622862945,-241.7403680806831,243.9839622862945,241.7403680806831,s03_batch3,
colville,4,hw,1,gaussian,2.0,0,-35.04485751791348,-32.045820080261905,35.04485751791348,32.045820080261905,s03_batch3,
colville,4,hw,1,gaussian,2.0,1,-209.18742581398328,-208.6575044557281,209.18742581398328,208.6575044557281,s03_batch3,
colville,4,hw,1,gaussian,2.0,2,-2145.0651923245628,-2150.705077022195,2145.0651923245628,2150.705077022195,s03_batch3,
colville,4,hw,1,gaussian,2.0,3,-925.0315494954272,-924.221606736032,925.0315494954272,924.221606736032,s03_batch3,
colville,4,hw,1,gaussian,2.0,4,-743.1457212817345,-745.214365505421,743.1457212817345,745.214365505421,s03_batch3,
colville,4,hw,2,gaussian,2.0,0,-974.2262539939286,-973.6115243731646,974.2262539939286,973.6115243731646,s03_batch3,
colville,4,hw,2,gaussian,2.0,1,-241.01649639226983,-240.6174305616019,241.01649639226983,240.6174305616019,s03_batch3,
colville,4,hw,2,gaussian,2.0,2,-1807.6014218407656,-1813.2413065383976,1807.6014218407656,1813.2413065383976,s03_batch3,
colville,4,hw,2,gaussian,2.0,3,-1200.4476820215823,-1202.3795933176698,1200.4476820215823,1202.3795933176698,s03_batch3,
colville,4,hw,2,gaussian,2.0,4,-222.201718280895,-219.9581240752836,222.201718280895,219.9581240752836,s03_batch3,
forrester08,1,1,0,gaussian,2.0,0,3.124040355221816,-0.6117806536331996,-3.124040355221816,0.6117806536331996,s03_batch3,
forrester08,1,1,0,gaussian,2.0,1,-1.0206354587409172,-0.6419445858959927,1.0206354587409172,0.6419445858959927,s03_batch3,
forrester08,1,1,0,gaussian,2.0,2,0.9704300885830388,-0.2326015387513607,-0.9704300885830388,0.2326015387513607,s03_batch3,
forrester08,1,1,0,gaussian,2.0,3,0.6392949443910791,-1.079273072138272,-0.6392949443910791,1.079273072138272,s03_batch3,
forrester08,1,1,0,gaussian,2.0,4,2.2068433541111165,-0.0395243049537166,-2.2068433541111165,0.0395243049537166,s03_batch3,
forrester08,1,1,1,gaussian,2.0,0,3.124040355221816,-0.2694406838322569,-3.124040355221816,0.2694406838322569,s03_batch3,
forrester08,1,1,1,gaussian,2.0,1,-2.8137788963405352,-0.6419445858959927,2.8137788963405352,0.6419445858959927,s03_batch3,
forrester08,1,1,1,gaussian,2.0,2,-0.767623511391915,-0.7749424928208537,0.767623511391915,0.7749424928208537,s03_batch3,
forrester08,1,1,1,gaussian,2.0,3,1.413115076127634,-0.0379903620057042,-1.413115076127634,0.0379903620057042,s03_batch3,
forrester08,1,1,1,gaussian,2.0,4,2.018827176757565,-0.0018964666575422,-2.018827176757565,0.0018964666575422,s03_batch3,
forrester08,1,1,2,gaussian,2.0,0,3.124040355221816,-0.0138945079608614,-3.124040355221816,0.0138945079608614,s03_batch3,
forrester08,1,1,2,gaussian,2.0,1,-2.722890199788988,-0.3674918796502702,2.722890199788988,0.3674918796502702,s03_batch3,
forrester08,1,1,2,gaussian,2.0,2,1.6151052523261575,-0.0311482715220563,-1.6151052523261575,0.0311482715220563,s03_batch3,
forrester08,1,1,2,gaussian,2.0,3,-1.1951160671997174,-0.0780242748751636,1.1951160671997174,0.0780242748751636,s03_batch3,
forrester08,1,1,2,gaussian,2.0,4,1.0204851597289062,-0.2168542183248565,-1.0204851597289062,0.2168542183248565,s03_batch3,
forrester08,1,hw,0,gaussian,2.0,0,3.124040355221816,-0.5145270880851571,-3.124040355221816,0.5145270880851571,s03_batch3,
forrester08,1,hw,0,gaussian,2.0,1,1.0426938656630875,-0.6419445858959927,-1.0426938656630875,0.6419445858959927,s03_batch3,
forrester08,1,hw,0,gaussian,2.0,2,0.9704300885830388,-0.2326015387513607,-0.9704300885830388,0.2326015387513607,s03_batch3,
forrester08,1,hw,0,gaussian,2.0,3,0.6392958044029347,-1.0792722121264164,-0.6392958044029347,1.0792722121264164,s03_batch3,
forrester08,1,hw,0,gaussian,2.0,4,2.203820143777837,-0.0419726866081262,-2.203820143777837,0.0419726866081262,s03_batch3,
forrester08,1,hw,1,gaussian,2.0,0,3.124040355221816,-0.2694252032065103,-3.124040355221816,0.2694252032065103,s03_batch3,
forrester08,1,hw,1,gaussian,2.0,1,-2.8161742768885745,-0.6419445858959927,2.8161742768885745,0.6419445858959927,s03_batch3,
forrester08,1,hw,1,gaussian,2.0,2,-0.6167633899624507,-1.8197950172968504,0.6167633899624507,1.8197950172968504,s03_batch3,
