function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret,batch,true_optimum_patch
goldstein_price,2,hw,0,heteroscedastic,2.0,0,-712.1686199513051,-714.5993251192083,712.1686199513051,714.5993251192083,s03_batch3,
goldstein_price,2,hw,0,heteroscedastic,2.0,1,-199.5404145950399,-199.3016948772705,199.5404145950399,199.3016948772705,s03_batch3,
goldstein_price,2,hw,0,heteroscedastic,2.0,2,-27.86094389116334,-29.92169130324621,27.86094389116334,29.92169130324621,s03_batch3,
goldstein_price,2,hw,0,heteroscedastic,2.0,3,-364.7119936271857,-362.7212715498664,364.7119936271857,362.7212715498664,s03_batch3,
goldstein_price,2,hw,0,heteroscedastic,2.0,4,-92.48447034316888,-89.76653602053614,92.48447034316888,89.76653602053614,s03_batch3,
goldstein_price,2,hw,1,heteroscedastic,2.0,0,0.9837813385863918,-2.608594753000469,-0.9837813385863918,2.608594753000469,s03_batch3,
goldstein_price,2,hw,1,heteroscedastic,2.0,1,-34.035528994549985,-36.18571970052009,34.035528994549985,36.18571970052009,s03_batch3,
goldstein_price,2,hw,1,heteroscedastic,2.0,2,-29.838392260871743,-29.92169130324621,29.838392260871743,29.92169130324621,s03_batch3,
goldstein_price,2,hw,1,heteroscedastic,2.0,3,-28.99313936481813,-27.23302213763176,28.99313936481813,27.23302213763176,s03_batch3,
goldstein_price,2,hw,1,heteroscedastic,2.0,4,-84.66897549869626,-81.94087119440218,84.66897549869626,81.94087119440218,s03_batch3,
goldstein_price,2,hw,2,heteroscedastic,2.0,0,-27.192748793078955,-27.859031059507465,27.192748793078955,27.859031059507465,s03_batch3,
goldstein_price,2,hw,2,heteroscedastic,2.0,1,-32.83044187529025,-33.28804327178157,32.83044187529025,33.28804327178157,s03_batch3,
goldstein_price,2,hw,2,heteroscedastic,2.0,2,-29.838392260871743,-29.92169130324621,29.838392260871743,29.92169130324621,s03_batch3,
goldstein_price,2,hw,2,heteroscedastic,2.0,3,-29.68921620759806,-27.92886962367427,29.68921620759806,27.92886962367427,s03_batch3,
goldstein_price,2,hw,2,heteroscedastic,2.0,4,-37.632605803024674,-34.40338159598915,37.632605803024674,34.40338159598915,s03_batch3,
hartmann3,3,1,0,heteroscedastic,2.0,0,8.171818620710448,3.384801051247272,,0.4779787357020644,s03_batch3,3.8627797869493365
hartmann3,3,1,0,heteroscedastic,2.0,1,6.609286081709072,3.744644098358495,,0.11813568859084134,s03_batch3,3.8627797869493365
hartmann3,3,1,0,heteroscedastic,2.0,2,7.622862028547108,3.706326620444399,,0.15645316650493735,s03_batch3,3.8627797869493365
hartmann3,3,1,0,heteroscedastic,2.0,3,6.233963293537844,2.7076564893347115,,1.155123297614625,s03_batch3,3.8627797869493365
hartmann3,3,1,0,heteroscedastic,2.0,4,6.809103422069789,3.780603985842917,,0.08217580110641975,s03_batch3,3.8627797869493365
hartmann3,3,1,1,heteroscedastic,2.0,0,6.038407863679478,3.384801051247272,,0.4779787357020644,s03_batch3,3.8627797869493365
hartmann3,3,1,1,heteroscedastic,2.0,1,6.454869078815831,3.6716889474405137,,0.19109083950882289,s03_batch3,3.8627797869493365
hartmann3,3,1,1,heteroscedastic,2.0,2,7.516367289393196,3.7219751687982536,,0.14080461815108292,s03_batch3,3.8627797869493365
hartmann3,3,1,1,heteroscedastic,2.0,3,6.233963293537844,2.7076564893347115,,1.155123297614625,s03_batch3,3.8627797869493365
hartmann3,3,1,1,heteroscedastic,2.0,4,6.042669622662327,3.780603985842917,,0.08217580110641975,s03_batch3,3.8627797869493365
hartmann3,3,1,2,heteroscedastic,2.0,0,6.038407863679478,3.384801051247272,,0.4779787357020644,s03_batch3,3.8627797869493365
hartmann3,3,1,2,heteroscedastic,2.0,1,5.885847047598475,3.6716889474405137,,0.19109083950882289,s03_batch3,3.8627797869493365
hartmann3,3,1,2,heteroscedastic,2.0,2,6.019665122009484,3.725939135692568,,0.13684065125676836,s03_batch3,3.8627797869493365
hartmann3,3,1,2,heteroscedastic,2.0,3,6.233963293537844,2.7076564893347115,,1.155123297614625,s03_batch3,3.8627797869493365
hartmann3,3,1,2,heteroscedastic,2.0,4,6.042669622662327,3.780603985842917,,0.08217580110641975,s03_batch3,3.8627797869493365
hartmann3,3,hw,0,heteroscedastic,2.0,0,8.171932540538144,3.384801051247272,,0.4779787357020644,s03_batch3,3.8627797869493365
hartmann3,3,hw,0,heteroscedastic,2.0,1,6.2519359007131055,3.744644098358495,,0.11813568859084134,s03_batch3,3.8627797869493365
hartmann3,3,hw,0,heteroscedastic,2.0,2,7.586493107127126,3.701961002210216,,0.1608187847391207,s03_batch3,3.8627797869493365
hartmann3,3,hw,0,heteroscedastic,2.0,3,6.233963293537844,2.7076564893347115,,1.155123297614625,s03_batch3,3.8627797869493365
hartmann3,3,hw,0,heteroscedastic,2.0,4,7.099809011816944,3.428592364657692,,0.4341874222916444,s03_batch3,3.8627797869493365
hartmann3,3,hw,1,heteroscedastic,2.0,0,8.327516604505483,3.6704477256068873,,0.1923320613424493,s03_batch3,3.8627797869493365
hartmann3,3,hw,1,heteroscedastic,2.0,1,6.259573402425513,3.6716889474405137,,0.19109083950882289,s03_batch3,3.8627797869493365
hartmann3,3,hw,1,heteroscedastic,2.0,2,7.235008067128954,3.724765942807254,,0.1380138441420824,s03_batch3,3.8627797869493365
hartmann3,3,hw,1,heteroscedastic,2.0,3,6.233963293537844,2.7076564893347115,,1.155123297614625,s03_batch3,3.8627797869493365
hartmann3,3,hw,1,heteroscedastic,2.0,4,6.042669622662327,3.780603985842917,,0.08217580110641975,s03_batch3,3.8627797869493365
hartmann3,3,hw,2,heteroscedastic,2.0,0,6.038407863679478,3.384801051247272,,0.4779787357020644,s03_batch3,3.8627797869493365
hartmann3,3,hw,2,heteroscedastic,2.0,1,6.303330085857651,3.6716889474405137,,0.19109083950882289,s03_batch3,3.8627797869493365
hartmann3,3,hw,2,heteroscedastic,2.0,2,7.464787342476641,3.6501616411966986,,0.21261814575263793,s03_batch3,3.8627797869493365
hartmann3,3,hw,2,heteroscedastic,2.0,3,6.233963293537844,2.7076564893347115,,1.155123297614625,s03_batch3,3.8627797869493365
hartmann3,3,hw,2,heteroscedastic,2.0,4,6.042669622662327,3.780603985842917,,0.08217580110641975,s03_batch3,3.8627797869493365
hartmann4,4,1,0,heteroscedastic,2.0,0,6.008912524698852,2.4988693102149067,,0.6356248310063055,s03_batch3,3.134494141221212
hartmann4,4,1,0,heteroscedastic,2.0,1,7.183157672619165,3.0709514589154625,,0.06354268230574966,s03_batch3,3.134494141221212
hartmann4,4,1,0,heteroscedastic,2.0,2,6.193995653402103,2.4579337863532005,,0.6765603548680117,s03_batch3,3.134494141221212
hartmann4,4,1,0,heteroscedastic,2.0,3,5.32962172713269,2.165994410897844,,0.968499730323368,s03_batch3,3.134494141221212
hartmann4,4,1,0,heteroscedastic,2.0,4,5.99211860952836,2.869766358786742,,0.26472778243447026,s03_batch3,3.134494141221212
hartmann4,4,1,1,heteroscedastic,2.0,0,6.008912524698852,2.837867467456341,,0.2966266737648713,s03_batch3,3.134494141221212
hartmann4,4,1,1,heteroscedastic,2.0,1,6.666760156936265,2.8579352534464357,,0.27655888777477644,s03_batch3,3.134494141221212
hartmann4,4,1,1,heteroscedastic,2.0,2,7.335839101397676,2.4579337863532005,,0.6765603548680117,s03_batch3,3.134494141221212
hartmann4,4,1,1,heteroscedastic,2.0,3,5.32962172713269,2.165994410897844,,0.968499730323368,s03_batch3,3.134494141221212
hartmann4,4,1,1,heteroscedastic,2.0,4,5.99211860952836,2.988256399244211,,0.14623774197700135,s03_batch3,3.134494141221212
hartmann4,4,1,2,heteroscedastic,2.0,0,6.008912524698852,2.183612984225828,,0.9508811569953841,s03_batch3,3.134494141221212
hartmann4,4,1,2,heteroscedastic,2.0,1,6.042265106107185,2.576749037446634,,0.557745103774578,s03_batch3,3.134494141221212
hartmann4,4,1,2,heteroscedastic,2.0,2,7.464247233830079,2.4579337863532005,,0.6765603548680117,s03_batch3,3.134494141221212
hartmann4,4,1,2,heteroscedastic,2.0,3,5.32962172713269,2.1947291579185184,,0.9397649833026938,s03_batch3,3.134494141221212
