function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret,batch,true_optimum_patch
sum_squares,5,hw,1,student_t,2.0,4,1.8600212733601933,-0.1442120713108367,-1.8600212733601933,0.1442120713108367,s02_batch2,
sum_squares,5,hw,2,student_t,2.0,0,-2.31896990729229,-2.130811772716482,2.31896990729229,2.130811772716482,s02_batch2,
sum_squares,5,hw,2,student_t,2.0,1,0.9767010684190542,-2.078804901276193,-0.9767010684190542,2.078804901276193,s02_batch2,
sum_squares,5,hw,2,student_t,2.0,2,0.5103907884362411,-0.6314954123484271,-0.5103907884362411,0.6314954123484271,s02_batch2,
sum_squares,5,hw,2,student_t,2.0,3,-1.2244615996427235,-2.004829443837615,1.2244615996427235,2.004829443837615,s02_batch2,
sum_squares,5,hw,2,student_t,2.0,4,-1.684418263540958,-3.226023160662061,1.684418263540958,3.226023160662061,s02_batch2,
sum_squares,10,1,0,student_t,2.0,0,4.261111880044298,-3.3296446718853345,-4.261111880044298,3.3296446718853345,s02_batch2,
sum_squares,10,1,0,student_t,2.0,1,-5.784678755534317,-8.05138720496274,5.784678755534317,8.05138720496274,s02_batch2,
sum_squares,10,1,0,student_t,2.0,2,1.8315109557764364,-3.5719977423236786,-1.8315109557764364,3.5719977423236786,s02_batch2,
sum_squares,10,1,0,student_t,2.0,3,-3.620820912670932,-5.800968337616004,3.620820912670932,5.800968337616004,s02_batch2,
sum_squares,10,1,0,student_t,2.0,4,-19.290486193310848,-20.41139127358325,19.290486193310848,20.41139127358325,s02_batch2,
sum_squares,10,1,1,student_t,2.0,0,-5.538824332005908,-4.709468774389612,5.538824332005908,4.709468774389612,s02_batch2,
sum_squares,10,1,1,student_t,2.0,1,-4.049387592670933,-4.849206752912875,4.049387592670933,4.849206752912875,s02_batch2,
sum_squares,10,1,1,student_t,2.0,2,-4.868284584451244,-5.790553426158153,4.868284584451244,5.790553426158153,s02_batch2,
sum_squares,10,1,1,student_t,2.0,3,-5.92135902164023,-4.757989410899772,5.92135902164023,4.757989410899772,s02_batch2,
sum_squares,10,1,1,student_t,2.0,4,-1.440532343739629,-2.535318283428853,1.440532343739629,2.535318283428853,s02_batch2,
sum_squares,10,1,2,student_t,2.0,0,-6.3601382567715605,-7.046486832370585,6.3601382567715605,7.046486832370585,s02_batch2,
sum_squares,10,1,2,student_t,2.0,1,-4.6527697475043786,-4.370490186977419,4.6527697475043786,4.370490186977419,s02_batch2,
sum_squares,10,1,2,student_t,2.0,2,-2.861841408002372,-3.4676526233874494,2.861841408002372,3.4676526233874494,s02_batch2,
sum_squares,10,1,2,student_t,2.0,3,-3.4784698253786166,-3.867896167891785,3.4784698253786166,3.867896167891785,s02_batch2,
sum_squares,10,1,2,student_t,2.0,4,0.7811424522225803,-2.1737123306849475,-0.7811424522225803,2.1737123306849475,s02_batch2,
sum_squares,10,hw,0,student_t,2.0,0,3.907365302713012,-3.6411174260030887,-3.907365302713012,3.6411174260030887,s02_batch2,
sum_squares,10,hw,0,student_t,2.0,1,-1.268401765475339,-5.656231668994953,1.268401765475339,5.656231668994953,s02_batch2,
sum_squares,10,hw,0,student_t,2.0,2,2.9576364161870377,-3.07975979823007,-2.9576364161870377,3.07975979823007,s02_batch2,
sum_squares,10,hw,0,student_t,2.0,3,-12.82059501494884,-13.663823580920903,12.82059501494884,13.663823580920903,s02_batch2,
sum_squares,10,hw,0,student_t,2.0,4,-3.863238792150282,-6.764095461002157,3.863238792150282,6.764095461002157,s02_batch2,
sum_squares,10,hw,1,student_t,2.0,0,-2.901433726067984,-4.716778918254975,2.901433726067984,4.716778918254975,s02_batch2,
sum_squares,10,hw,1,student_t,2.0,1,-4.57142268804308,-4.2891431275161205,4.57142268804308,4.2891431275161205,s02_batch2,
sum_squares,10,hw,1,student_t,2.0,2,-3.447270568645079,-3.852557700049888,3.447270568645079,3.852557700049888,s02_batch2,
sum_squares,10,hw,1,student_t,2.0,3,-2.6242916498181312,-2.658157585755142,2.6242916498181312,2.658157585755142,s02_batch2,
sum_squares,10,hw,1,student_t,2.0,4,-1.4416477963979053,-2.536433736087129,1.4416477963979053,2.536433736087129,s02_batch2,
sum_squares,10,hw,2,student_t,2.0,0,-4.345920982517438,-1.198399018840249,4.345920982517438,1.198399018840249,s02_batch2,
sum_squares,10,hw,2,student_t,2.0,1,1.0309781204045034,-1.7600936935196962,-1.0309781204045034,1.7600936935196962,s02_batch2,
sum_squares,10,hw,2,student_t,2.0,2,-3.963632100924441,-4.632938112413085,3.963632100924441,4.632938112413085,s02_batch2,
sum_squares,10,hw,2,student_t,2.0,3,-5.704344715192794,-5.85245932193139,5.704344715192794,5.85245932193139,s02_batch2,
sum_squares,10,hw,2,student_t,2.0,4,-0.8683127015490171,-1.198297579885961,0.8683127015490171,1.198297579885961,s02_batch2,
booth,2,1,0,student_t,2.0,0,0.7485728335153257,-0.034767674458808,-0.7485728335153257,0.034767674458808,s02_batch2,
booth,2,1,0,student_t,2.0,1,1.971933828216396,-0.0784672578995561,-1.971933828216396,0.0784672578995561,s02_batch2,
booth,2,1,0,student_t,2.0,2,0.3482981551284739,-0.0209043211142742,-0.3482981551284739,0.0209043211142742,s02_batch2,
booth,2,1,0,student_t,2.0,3,-1.27586545005933,-2.2932021613182414,1.27586545005933,2.2932021613182414,s02_batch2,
booth,2,1,0,student_t,2.0,4,6.26377302734775,-0.6097829444526656,-6.26377302734775,0.6097829444526656,s02_batch2,
booth,2,1,1,student_t,2.0,0,-0.1280643532262906,-0.0816288623670509,0.1280643532262906,0.0816288623670509,s02_batch2,
booth,2,1,1,student_t,2.0,1,-0.0550140587989287,-0.7042970516773512,0.0550140587989287,0.7042970516773512,s02_batch2,
booth,2,1,1,student_t,2.0,2,3.013317673613428,-0.0319563191930658,-3.013317673613428,0.0319563191930658,s02_batch2,
booth,2,1,1,student_t,2.0,3,0.3732651450605807,-0.0926111073913129,-0.3732651450605807,0.0926111073913129,s02_batch2,
booth,2,1,1,student_t,2.0,4,0.4830898303837831,-1.625653270364071,-0.4830898303837831,1.625653270364071,s02_batch2,
booth,2,1,2,student_t,2.0,0,-1.5190885837244568,-1.2584679419467912,1.5190885837244568,1.2584679419467912,s02_batch2,
booth,2,1,2,student_t,2.0,1,1.0641605884926677,-0.1394011169409658,-1.0641605884926677,0.1394011169409658,s02_batch2,
booth,2,1,2,student_t,2.0,2,-0.3713028554520735,-0.0282986483129817,0.3713028554520735,0.0282986483129817,s02_batch2,
booth,2,1,2,student_t,2.0,3,0.3181811867147466,-0.1476950657371469,-0.3181811867147466,0.1476950657371469,s02_batch2,
booth,2,1,2,student_t,2.0,4,0.4830898303837831,-1.625653270364071,-0.4830898303837831,1.625653270364071,s02_batch2,
booth,2,hw,0,student_t,2.0,0,-0.2628062903420234,-0.0021856485643579,0.2628062903420234,0.0021856485643579,s02_batch2,
booth,2,hw,0,student_t,2.0,1,1.434390575460377,-0.0977862130913705,-1.434390575460377,0.0977862130913705,s02_batch2,
booth,2,hw,0,student_t,2.0,2,0.802404777696434,-0.3552831155367638,-0.802404777696434,0.3552831155367638,s02_batch2,
booth,2,hw,0,student_t,2.0,3,0.9557083704928728,-0.5225623999751221,-0.9557083704928728,0.5225623999751221,s02_batch2,
booth,2,hw,0,student_t,2.0,4,1.1763096798230317,-0.5867818409487188,-1.1763096798230317,0.5867818409487188,s02_batch2,
booth,2,hw,1,student_t,2.0,0,-0.0555929076391545,-0.3860342144924296,0.0555929076391545,0.3860342144924296,s02_batch2,
booth,2,hw,1,student_t,2.0,1,0.5017770016576452,-0.3332761377614027,-0.5017770016576452,0.3332761377614027,s02_batch2,
booth,2,hw,1,student_t,2.0,2,3.0335343031540702,-0.0117396896524237,-3.0335343031540702,0.0117396896524237,s02_batch2,
booth,2,hw,1,student_t,2.0,3,0.3711253459500386,-0.0212515339966002,-0.3711253459500386,0.0212515339966002,s02_batch2,
booth,2,hw,1,student_t,2.0,4,0.4830898303837831,-1.625653270364071,-0.4830898303837831,1.625653270364071,s02_batch2,
booth,2,hw,2,student_t,2.0,0,-0.3159114135285084,-0.0552907717508429,0.3159114135285084,0.0552907717508429,s02_batch2,
booth,2,hw,2,student_t,2.0,1,1.315155488001861,-0.0187175358388896,-1.315155488001861,0.0187175358388896,s02_batch2,
booth,2,hw,2,student_t,2.0,2,-0.677457814244411,-0.3344536071053191,0.677457814244411,0.3344536071053191,s02_batch2,
booth,2,hw,2,student_t,2.0,3,0.2913186363701964,-0.1344400515092375,-0.2913186363701964,0.1344400515092375,s02_batch2,
booth,2,hw,2,student_t,2.0,4,0.4830898303837831,-1.625653270364071,-0.4830898303837831,1.625653270364071,s02_batch2,
matyas,2,1,0,student_t,2.0,0,0.967656186481454,-0.0996310008356291,-0.967656186481454,0.0996310008356291,s02_batch2,
matyas,2,1,0,student_t,2.0,1,1.277257143592537,-1.0612410432800914,-1.277257143592537,1.0612410432800914,s02_batch2,
matyas,2,1,0,student_t,2.0,2,2.7389374685340746,-0.1955975894786599,-2.7389374685340746,0.1955975894786599,s02_batch2,
matyas,2,1,0,student_t,2.0,3,2.455877620770475,-0.3542113455926294,-2.455877620770475,0.3542113455926294,s02_batch2,
matyas,2,1,0,student_t,2.0,4,2.669385945793432,-0.0158786253614385,-2.669385945793432,0.0158786253614385,s02_batch2,
matyas,2,1,1,student_t,2.0,0,1.8166991211744623,-0.0562023046334573,-1.8166991211744623,0.0562023046334573,s02_batch2,
